ticker,date,open,high,low,close,dollar_volume,volume,prev_close,gap_up,intraday_gain,sum_gap_intraday,exchange,shares_outstanding,sector,market_cap,dayofweek
AUVI,2021-02-09,9,35.7799987792969,8.28800010681152,19.7099990844727,2332461582,118339000,5.17999982833862,73.7451795029608,297.555541992187,371.300721495148,nasdaq,7950000,Consumer Cyclical,41180999,Tue
SCKT,2021-02-16,10.1899995803833,35,9.17000007629394,20.6800003051758,4696852009,227120500,3.24000000953674,214.506158962644,243.474008255881,457.980167218525,nasdaq,6080000,Technology,19699200,Tue
LODE,2021-02-17,9.82999992370606,9.85000038146973,5.30000019073486,5.78999996185303,1189129348,205376400,2.25,336.888885498047,0.20346345797459,337.092348956022,Amex,80790000,Real Estate,181777500,Wed
VANI,2021-03-05,6.86999988555908,29.6700000762939,6.21000003814697,17.3700008392334,4283040387,246576867,4.28999996185303,60.1398588962142,331.877737562428,392.017596458642,nasdaq,23118233,Healthcare,99177219,Fri
TKAT,2021-03-17,5.26000022888184,24.8999996185303,5.19999980926514,22.6000003814697,1536820366,68000900,5.98999977111816,-12.1869711207027,373.384002567306,361.197031446603,Amex,11270000,Consumer Cyclical,67507297,Wed
EEIQ,2021-03-26,17.8600006103516,35.2000007629395,13.5,15.5,257625500,16621000,4,346.500015258789,97.0884633818978,443.588478640687,nasdaq,10915313,Consumer Defensive,43661252,Fri
AEMD,2021-06-09,10.6000003814697,12.4899997711182,8.71000003814697,10.789999961853,2736206957,253587300,2.21000003814697,379.63801803178,17.8301822795442,397.468200311324,nasdaq,12130000,Healthcare,26807300,Wed
TROO,2021-07-09,2.41000008583069,18.7999992370605,2.40000009536743,9.78999996185303,1226548956,125285900,2.57999992370605,-6.58914119777062,680.082928112448,673.493786914678,nasdaq,101597998,Technology,262122827,Fri
MDIA,2021-07-12,4.19999980926514,17.3999996185303,4.19999980926514,17,1486966200,87468600,4.13000011444092,1.69490781802786,314.285724017085,315.980631835113,nasdaq,2440000,Communication Services,10077200,Mon
RGC,2021-08-20,6,26.7000007629395,6,19.1599998474121,197321174,10298600,6.30000019073486,-4.76190764527373,345.000012715658,340.238105070384,nasdaq,12640000,Healthcare,79632002,Fri
ATIF,2021-08-30,3,5.65000009536743,2.90000009536743,3.38000011444092,98242745,29065900,0.550000011920929,445.454533632137,88.3333365122477,533.787870144385,nasdaq,9557321,Financial Services,5256527,Mon
FCUV,2021-09-01,6.21999979019165,24.4799995422363,5.69999980926514,19.2800006866455,785320700,40732400,5.09999990463257,21.9607824804415,293.56913774883,315.529920229272,nasdaq,40960000,Technology,208895996,Wed
DWAC,2021-10-21,12.7299995422363,52,12.6199998855591,45.5,22694603750,498782500,9.96000003814697,27.8112398943796,308.483910996787,336.295150891166,nasdaq,28750000,Financial Services,286350001,Thur
PHUN,2021-10-22,7.53000020980835,24.0400009155273,5.51900005340576,8.73999977111816,5662567192,647891000,1.52999997138977,392.156885661148,219.25631136389,611.413197025038,nasdaq,76010000,Technology,116295298,Fri
IINN,2021-10-26,2.34999990463257,9.59000015258789,2.26999998092651,9.59000015258789,1658202131,172909500,2.34999990463257,0,308.085129436945,308.085129436945,nasdaq,7800000,Healthcare,18329999,Tue
BIMI,2021-10-26,3.29999995231628,13.3500003814697,3.15000009536743,11.0500001907349,476905632,43158880,3.40000009536743,-2.94118059547704,304.545471950668,301.604291355191,nasdaq,35410000,Healthcare,120394003,Tue
ISPO,2022-02-17,14.1899995803833,108,14.1899995803833,92.6500015258789,1173514184,12666100,12.3800001144409,14.6203509629299,661.099388257224,675.719739220154,nasdaq,17250000,Consumer Cyclical,213555002,Thur
HUSA,2022-03-07,3.27999997138977,13.9399995803833,2.96000003814697,11.3000001907349,2257335498,199764200,1.89999997615814,72.6315796078077,324.999990913926,397.631570521734,Amex,9930000,Energy,18867000,Mon
NRSN,2022-03-21,2.1800000667572,8.18000030517578,2.02999997138977,6.23000001907349,1035703861,166244600,1.55999994277954,39.7435991486622,275.229360306567,314.972959455229,nasdaq,10940000,Healthcare,17066399,Mon
TXMD,2022-05-31,9.53999996185303,9.98999977111816,9.11999988555908,9.93000030517578,74008292,7453000,2.14000010490417,345.794368887669,4.71697915161972,350.511348039289,nasdaq,8670000,Healthcare,18553801,Tue
AMTD,2022-08-02,10.7399997711182,12.8999996185303,6.40000009536743,7,1612865100,230409300,2.07999992370605,416.346161781684,20.1117308514358,436.45789263312,nyse,144080000,Financial Services,299686389,Tue
MTC,2022-08-02,1.65199995040894,8.28999996185303,1.57000005245209,7.84999990463257,102909574,13109500,1.60000002384186,3.24999536201365,401.815993384317,405.065988746331,nasdaq,3140000,Technology,5024000,Tue
APDN,2022-08-02,1.33000004291534,4.34999990463257,1.29999995231628,2.79999995231628,328065074,117166100,0.680000007152557,95.5882395479093,227.067651448899,322.655890996809,nasdaq,8980000,Healthcare,6106400,Tue
QNRX,2022-08-03,4.32999992370606,28.1100006103516,4.17000007629395,19.7999992370605,577742198,29178900,4.30000019073486,0.697668177685929,549.191711446779,549.889379624465,nasdaq,3354650000,Healthcare,14424995640,Wed
DRUG,2022-08-18,1.17999994754791,4.75,1.10000002384186,2.17000007629395,260189085,119902800,0.980000019073486,20.4081555695795,302.542390774736,322.950546344316,nasdaq,11870000,Healthcare,11632600,Thur
